areasymbol,spatialver,longitude,latitude,musym,mukey,muname,component_name,component_percent_r,horizon_name,horizon_top_cm,horizon_bottom_cm,ph1to1h2o_r,ph01mcacl2_r,cec7_r,ecec_r,sumbases_r,caco3_r,gypsum_r,sar_r,pbray1_r,poxalate_r,ph2osoluble_r,ptotal_r
FL071,8,-82.01022958,26.71655201,42,1483437,"Wabasso sand, limestone substratum, 0 to 2 percent slopes",Wabasso,85,A,0,15,5.4,,,0.9,0.9,0,0,1,,,,
FL071,8,-81.72261868,26.67813325,51,1483445,"Floridana sand, frequently ponded, 0 to 2 percent slopes",Floridana,85,A,0,53,6.5,,3.2,,2.9,0,0,1,,,,
FL071,8,-81.71398508,26.70534348,132,3102899,"Pompano fine sand, ponded-Urban land complex, 0 to 1 percent slopes",Pompano,48,A,0,30,5.8,,1.1,,0.9,0,0,2,,,,
FL071,8,-81.82421595,26.71904120,99,1483470,Water,Water,100,,,,,,,,,,,,,,,
FL071,8,-81.59661887,26.69220497,35,1483429,"Wabasso sand, 0 to 2 percent slopes",Wabasso,85,A,0,15,6.1,6.4,2.2,,1.3,0,0,1,,,,
FL071,8,-81.57654175,26.68882980,13,3236254,"Cypress Lake fine sand, 0 to 2 percent slopes",Cypress Lake,80,A,0,8,5.6,5.6,1.1,,0.8,0,0,1,,,,
FL071,8,-81.82001383,26.72012676,45,3102839,"Copeland fine sandy loam, frequently ponded, 0 to 1 percent slopes",Copeland,90,A1,0,20,6.6,,13.6,,12.6,0,0,1,,,,
FL071,8,-81.57307352,26.68684946,102,3236259,"Cypress Lake fine sand-Urban land complex, 0 to 2 percent slopes",Cypress Lake,42,A,0,8,5.6,5.6,1.1,,0.8,0,0,1,,,,
FL071,8,-81.94614374,26.73915181,99,1483470,Water,Water,100,,,,,,,,,,,,,,,
FL071,8,-81.94183363,26.72921627,99,1483470,Water,Water,100,,,,,,,,,,,,,,,
FL071,8,-81.72471099,26.70647742,59,1483450,"Urban land, 0 to 2 percent slopes",Urban land,85,,,,,,,,,,,,,,,
FL071,8,-81.86378981,26.72819215,42,1483437,"Wabasso sand, limestone substratum, 0 to 2 percent slopes",Wabasso,85,A,0,15,5.4,,,0.9,0.9,0,0,1,,,,
FL071,8,-81.71243625,26.70709709,125,3102888,"Oldsmar sand-Urban land, 0 to 2 percent slopes",Oldsmar,45,A,0,15,5.3,,,1,1,0,0,1,,,,
FL071,8,-81.76707563,26.73486120,119,3102873,"Malabar fine sand-Urban land complex, 0 to 2 percent slopes",Malabar,45,A,0,13,5.3,5.3,,0.2,0.2,0,0,1,,,,
FL071,8,-81.64515105,26.71484602,45,3102839,"Copeland fine sandy loam, frequently ponded, 0 to 1 percent slopes",Copeland,90,A1,0,20,6.6,,13.6,,12.6,0,0,1,,,,
FL071,8,-82.03497722,26.70543636,129,3102894,"Pineda fine sand-Urban land complex, 0 to 2 percent slopes",Pineda,40,A,0,3,5.4,5.2,,0.1,0.1,0,0,1,,,,
FL071,8,-81.68773173,26.40166150,42,1483437,"Wabasso sand, limestone substratum, 0 to 2 percent slopes",Wabasso,85,A,0,15,5.4,,,0.9,0.9,0,0,1,,,,
FL071,8,-81.80821116,26.42215843,136,3102912,"Valkaria fine sand-Urban land complex, 0 to 2 percent slopes",Valkaria,45,A,0,13,5.5,,,0.8,0.8,0,0,1,,,,
FL071,8,-81.68092507,26.72184783,35,1483429,"Wabasso sand, 0 to 2 percent slopes",Wabasso,85,A,0,15,6.1,6.4,2.2,,1.3,0,0,1,,,,
FL071,8,-81.88909940,26.74943687,6,3236260,"Brynwood fine sand, wet, 0 to 2 percent slopes",Brynwood,85,A,0,5,5.6,,1.1,,0.9,0,0,1,,,,
FL071,8,-81.59394944,26.71298048,13,3236254,"Cypress Lake fine sand, 0 to 2 percent slopes",Cypress Lake,80,A,0,8,5.6,5.6,1.1,,0.8,0,0,1,,,,
FL071,8,-81.61873102,26.71280668,106,3102843,"Daytona sand-Urban land complex, 0 to 5 percent slopes",Daytona,45,A,0,13,4.6,,,0.7,0.7,0,0,1,,,,
FL071,8,-81.61866733,26.71450898,110,3102853,"Felda fine sand-Urban land complex, 0 to 2 percent slopes",Felda,45,A,0,10,6.5,,2.2,,2.1,0,0,1,,,,
FL071,8,-81.92388847,26.76390153,125,3102888,"Oldsmar sand-Urban land, 0 to 2 percent slopes",Oldsmar,45,A,0,15,5.3,,,1,1,0,0,1,,,,
FL071,8,-81.67146487,26.72034135,147,3102953,"Pineda fine sand, limestone substratum-Urban land complex, 0 to 2 percent slopes",Pineda,43,A,0,10,5.3,,,0.2,0.2,0,0,1,,,,
FL071,8,-81.89485357,26.75103989,42,1483437,"Wabasso sand, limestone substratum, 0 to 2 percent slopes",Wabasso,85,A,0,15,5.4,,,0.9,0.9,0,0,1,,,,
FL071,8,-81.90473291,26.75403699,6,3236260,"Brynwood fine sand, wet, 0 to 2 percent slopes",Brynwood,85,A,0,5,5.6,,1.1,,0.9,0,0,1,,,,
FL071,8,-81.80518771,26.73877041,45,3102839,"Copeland fine sandy loam, frequently ponded, 0 to 1 percent slopes",Copeland,90,A1,0,20,6.6,,13.6,,12.6,0,0,1,,,,
FL071,8,-81.85955646,26.74752378,35,1483429,"Wabasso sand, 0 to 2 percent slopes",Wabasso,85,A,0,15,6.1,6.4,2.2,,1.3,0,0,1,,,,
FL071,8,-81.86877898,26.75044123,73,1483462,"Pineda fine sand, frequently ponded, 0 to 1 percent slopes",Pineda,90,A,0,8,5.9,5.2,0.8,,0.6,0,0,1,,,,
FL071,8,-81.70700513,26.72779563,66,3102938,"Caloosa fine sand-Urban land complex, 0 to 2 percent slopes",Caloosa,45,A,0,25,7.3,,4,,3.9,0,0,1,,,,
FL071,8,-81.81752040,26.74129701,34,1483428,"Malabar fine sand, 0 to 2 percent slopes",Malabar,85,A,0,13,5.3,5.3,,0.2,0.2,0,0,1,,,,
FL071,8,-81.99931554,26.76542732,45,3102839,"Copeland fine sandy loam, frequently ponded, 0 to 1 percent slopes",Copeland,90,A1,0,20,6.6,,13.6,,12.6,0,0,1,,,,
FL071,8,-81.89500768,26.75375772,129,3102894,"Pineda fine sand-Urban land complex, 0 to 2 percent slopes",Pineda,40,A,0,3,5.4,5.2,,0.1,0.1,0,0,1,,,,
FL071,8,-81.92105783,26.75626164,26,1483423,"Pineda-Pineda, wet, fine sand, 0 to 2 percent slopes",Pineda,45,A,0,3,5.4,5.2,,0.1,0.1,0,0,1,,,,
FL071,8,-81.62654195,26.71558757,69,1483458,"Matlacha gravelly fine sand, 0 to 2 percent slopes",Matlacha,90,^C,0,89,7,,3.5,,3.3,0,0,1,,,,
FL071,8,-81.68660278,26.72274710,35,1483429,"Wabasso sand, 0 to 2 percent slopes",Wabasso,85,A,0,15,6.1,6.4,2.2,,1.3,0,0,1,,,,
FL071,8,-81.62416069,26.71525693,45,3102839,"Copeland fine sandy loam, frequently ponded, 0 to 1 percent slopes",Copeland,90,A1,0,20,6.6,,13.6,,12.6,0,0,1,,,,
FL071,8,-81.92710460,26.75714816,102,3236259,"Cypress Lake fine sand-Urban land complex, 0 to 2 percent slopes",Cypress Lake,42,A,0,8,5.6,5.6,1.1,,0.8,0,0,1,,,,
FL071,8,-81.96124351,26.76683186,77,1483466,"Pineda fine sand, limestone substratum, 0 to 2 percent slopes",Pineda,83,A,0,10,5.3,,,0.2,0.2,0,0,1,,,,
FL071,8,-81.70024525,26.72547391,66,3102938,"Caloosa fine sand-Urban land complex, 0 to 2 percent slopes",Caloosa,45,A,0,25,7.3,,4,,3.9,0,0,1,,,,
FL071,8,-82.03163347,26.77005208,35,1483429,"Wabasso sand, 0 to 2 percent slopes",Wabasso,85,A,0,15,6.1,6.4,2.2,,1.3,0,0,1,,,,
FL071,8,-81.60683374,26.71194353,72,1483461,"Bradenton fine sand, 0 to 2 percent slopes",Bradenton,85,A,0,10,6,6,2.2,,1.7,0,0,1,,,,
FL071,8,-81.62934387,26.71341061,33,1483427,"Oldsmar sand, 0 to 2 percent slopes",Oldsmar,85,A,0,15,5.3,,,1,1,0,0,1,,,,
FL071,8,-81.64062784,26.71738983,72,1483461,"Bradenton fine sand, 0 to 2 percent slopes",Bradenton,85,A,0,10,6,6,2.2,,1.7,0,0,1,,,,
FL071,8,-81.82147079,26.74218780,33,1483427,"Oldsmar sand, 0 to 2 percent slopes",Oldsmar,85,A,0,15,5.3,,,1,1,0,0,1,,,,
FL071,8,-81.96593558,26.76369220,74,3236255,"Cypress Lake fine sand, slough, 0 to 1 percent slopes",Cypress Lake,85,A,0,8,5.6,5.6,1.1,,0.8,0,0,1,,,,
FL071,8,-82.00742804,26.65945251,137,3102913,"Wabasso sand-Urban land complex, 0 to 2 percent slopes",Wabasso,45,A,0,15,6.1,6.4,2.2,,1.3,0,0,1,,,,
FL071,8,-81.98520226,26.66014691,64,3236261,"Brynwood fine sand, wet-Urban land complex, 0 to 2 percent slopes",Brynwood,45,A,0,5,5.6,,1.1,,0.9,0,0,1,,,,
FL071,8,-81.77648438,26.63054588,75,3236262,"Brynwood fine sand, slough, 0 to 1 percent slopes",Brynwood,88,A,0,5,5.6,,1.1,,0.9,0,0,1,,,,
FL071,8,-81.76300533,26.62883690,136,3102912,"Valkaria fine sand-Urban land complex, 0 to 2 percent slopes",Valkaria,45,A,0,13,5.5,,,0.8,0.8,0,0,1,,,,
FL071,8,-81.75283479,26.62602425,53,1483446,"Myakka fine sand, frequently ponded, 0 to 1 percent slopes",Myakka,85,A,0,13,4.7,,,0.7,0.7,0,0,1,,,,
FL071,8,-81.69315719,26.61740147,129,3102894,"Pineda fine sand-Urban land complex, 0 to 2 percent slopes",Pineda,40,A,0,3,5.4,5.2,,0.1,0.1,0,0,1,,,,
FL071,8,-81.80084004,26.63195721,120,3102874,"Malabar fine sand, ponded-Urban land complex, 0 to 1 percent slopes",Malabar,48,A,0,13,5.3,5.3,,0.2,0.2,0,0,1,,,,
FL071,8,-81.56607470,26.60198532,129,3102894,"Pineda fine sand-Urban land complex, 0 to 2 percent slopes",Pineda,40,A,0,3,5.4,5.2,,0.1,0.1,0,0,1,,,,
FL071,8,-81.98062317,26.65695681,7,3102878,"Matlacha gravelly fine sand-Urban land complex, 0 to 2 percent slopes",Matlacha,48,^C,0,89,7,,3.5,,3.3,0,0,1,,,,
FL071,8,-81.75310180,26.62706799,13,3236254,"Cypress Lake fine sand, 0 to 2 percent slopes",Cypress Lake,80,A,0,8,5.6,5.6,1.1,,0.8,0,0,1,,,,
FL071,8,-81.77144047,26.62894927,75,3236262,"Brynwood fine sand, slough, 0 to 1 percent slopes",Brynwood,88,A,0,5,5.6,,1.1,,0.9,0,0,1,,,,
FL071,8,-82.15563192,26.68263411,11,1483408,"Myakka fine sand, 0 to 2 percent slopes",Myakka,85,A,0,15,5.1,3.4,,0.9,0.9,0,0,1,,,,
FL071,8,-81.76125980,26.62874158,75,3236262,"Brynwood fine sand, slough, 0 to 1 percent slopes",Brynwood,88,A,0,5,5.6,,1.1,,0.9,0,0,1,,,,
FL071,8,-81.92857799,26.62516598,125,3102888,"Oldsmar sand-Urban land, 0 to 2 percent slopes",Oldsmar,45,A,0,15,5.3,,,1,1,0,0,1,,,,
FL071,8,-81.91877728,26.62572034,24,3102876,"Kesson fine sand, tidal, 0 to 1 percent slopes",Kesson,88,Akn,0,15,8,,2,,64.8,2,0,25,,,,
FL071,8,-81.66677822,26.59149236,36,3102952,"Immokalee sand-Urban land complex, 0 to 2 percent slopes",Immokalee,43,A,0,23,4.5,4.2,,0.8,0.8,0,0,1,,,,
FL071,8,-81.92838020,26.62735186,125,3102888,"Oldsmar sand-Urban land, 0 to 2 percent slopes",Oldsmar,45,A,0,15,5.3,,,1,1,0,0,1,,,,
FL071,8,-82.12760554,26.65244035,28,1483425,"Immokalee sand, 0 to 2 percent slopes",Immokalee,85,A,0,23,4.5,4.2,,0.8,0.8,0,0,1,,,,
FL071,8,-82.11601467,26.65319039,36,3102952,"Immokalee sand-Urban land complex, 0 to 2 percent slopes",Immokalee,43,A,0,23,4.5,4.2,,0.8,0.8,0,0,1,,,,
FL071,8,-81.73154076,26.60469372,121,3102875,"Malabar fine sand, high-Urban land complex, 0 to 2 percent slopes",Malabar,45,A,0,13,5.3,5.3,,0.2,0.2,0,0,1,,,,
FL071,8,-81.58671782,26.58147916,36,3102952,"Immokalee sand-Urban land complex, 0 to 2 percent slopes",Immokalee,43,A,0,23,4.5,4.2,,0.8,0.8,0,0,1,,,,
