STATE,COUNTY,NAME,OWNER,CITY,TYPE,PURPOSE,MGD MAX,START DESAL,DISPOSAL CONCENTRATE,WATER SOURCE,DESAL REASON / TREATMENT,CONCENTRATE POST-TREATMENT,DESAL DESIGN PRODUCTION (mgd),DESAL AVERAGE PRODUCTION (mgd),PLANT DESIGN PRODUCTION (mgd),PLANT AVERAGE PRODUCTION (mgd),BLENDING?,RAW WATER TDS OR CONDUCTIVITY,PRE-TREATMENT,FEED PRESSURE TO DESAL (psi),MEMBRANE RECOVERY (%),PERMEATE TDS OR CONDUCTIVITY,BLEND TDS OR CONDUCTIVITY,BLEND RATIO (PERMEATE : OTHER),BLEND WATER SOURCE,PERMEATE POST-TREATMENT,AGE OF MEMBRANE / LAST REPLACEMENT (yr),FATE OF WASTEWATER CLEANING,FATE OF WASTE BACKWASH,SOURCE SECTION,SOURCE EXCEL ROW
TX,Coryell,City of Evant RO WTP,City of Evant,Evant,Reverse osmosis,Drinking water,0.08,2010,Sewer discharge,Groundwater,none,none,0.08,6.5000000000000002E-2,none,none,no,1100 mg/L TDS equivalent,"cartridge filter, media filter, antiscalant",190,80,800,none,none,none,none,none,none,none,TEXAS FACILITIES,75
TX,Gaines,25th and Avenue G,BW Primoris,Seminole,Reverse osmosis,Drinking water,1.3,2016,Land application,Groundwater,"total dissolved solids, arsenic",none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,TEXAS FACILITIES,76
TX,Parker,Parker County Special Utility District (SUD) WTP,none,Weatherford,Reverse osmosis,Drinking water,0.4,2010,Surface water discharge,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,TEXAS FACILITIES,77
TX,Gaines,14th and C,BW Primoris,Seminole,Reverse osmosis,Drinking water,0.57999999999999996,2016,Land application,Groundwater,"total dissolved solids, arsenic",none,0.65,0.5-0.65,none,none,yes,2500 in summer; rest of year = ~1100 mg/L TDS equivalent,"acid, antiscalant, cartridge filters",225-250,65-70,40-50 mg/l,740,2 : 1,bypass,"blend, caustic, chlorine",on original membranes,membranes sent off site for cleaning,none,TEXAS FACILITIES,78
NC,Craven,Craven County Potable Water Supply and Treatment Facility,Craven County,none,Nanofiltration,Drinking water,3,2017,Surface water discharge,Groundwater,"reduce reliance on Black Creek Aquifer; remove trihalomethane and haloacetic acids precursors; total dissolved solids, iron",none,3,1.33; will increase during Spring and Summer,none,none,no,296 mg/L TDS equivalent,"antiscalant, cartridge filters",38-52,depends on well combo; up to 75%,none,none,none,none,"calcite stabilization, chlorination",on original membranes,none,none,Sheet1_table_04,85
IA,none,City of Pella WTP,City of Pella,Pella,Reverse osmosis,Drinking water,3,2017,Surface water discharge,Groundwater,"limited water available in old aquifer, switched to new; required total dissolved solids removal",none,3,1.4,max is 6 mgd (if 3 mgd of lime softening is added in emergency),1.8,yes,685 mg/L TDS equivalent,antiscalant,101 first stage; 105 second stage,80,none,230 mg/l,80:20; 20% can vary 10-30% to get desired water quality,bypass,"caustic, sodium hypochlorite, fluoride",on original membranes,none,none,Sheet1_table_04,86
IA,none,Grimes WTP,City of Grimes,Grimes,Reverse osmosis,Drinking water,0.8,2017,Sewer discharge,Groundwater,better quality,blend with lime softening wastewater,0.8,none,none,none,yes,110 mg/L TDS equivalent,"bag filter, cartridge filter, antiscalant",none,85,none,80 mg/l,2 : 1,lime softened water,"blend, chloramination, corrosion inhibitor",on original membranes,haven't had to clean yet,none,Sheet1_table_04,87
NC,none,SKYCO WTP,Dare County,Manteo,Nanofiltration,Drinking water,3,2017,Surface water discharge,Groundwater,less complicated than ion exchange and membrane found to address bromide removal and iron,none,3,3,5,2.5,yes,545 mg/L TDS equivalent,"antiscalant, 5µ cartridge filter",108,80,50,170,3:2,product water from IX facility; adds back hardness,"caustic, hypochlorite, corrosion inhibitor",on original membranes,with concentrate,with concentrate,Sheet1_table_04,88
KS,none,PWWSD #26,City of Strong City,Strong City,Reverse osmosis,Drinking water,0.46,2015,Surface water discharge,Groundwater,hardness,none,0.46,0.12 (currently run 1 of 2 skids; run both skids in summer),0.6,0.14000000000000001,yes,524.8-585.6 mg/L TDS equivalent,"chlorination, greensand filter, dechlorination, antiscalant, cartridge filters",150,80,15 mg/l,200 mg/l,80 : 20,bypass after greensand filter,"caustic, chlorine",on original membranes,sewer; (clean only once every 3 years),"settling tank, solids to lagoon and evaporation pond; retentate back to front of process",Sheet1_table_04,89
KS,none,Big Springs WTP,Douglas County RWD #3,Tecumseh,Reverse osmosis,Drinking water,1.1399999999999999,2014,Surface water discharge,Groundwater,hardness,none,none,0.31,none,0.67,none,280 mg/L TDS equivalent,none,146,none,none,none,none,none,none,none,none,none,Sheet1_table_04,90
OH,none,Spencerville WTP,City of Spencerville,Spencerville,Nanofiltration,Drinking water,0.48692206076618227,2014,Sewer discharge,Groundwater,total dissolved solids (from residential ion exchange discharges); ability to meet future concerns,neutralization,0.49,none,none,none,yes,none,"aeration, chlorination, sand filters, dechlorination, antiscalant",122,70,74 mg/l,none,none,sand filtered bypass,"disinfection, pH adjustment",on original membranes,none,none,Sheet1_table_04,91
CO,none,Sterling WTF,City of Sterling,Sterling,Reverse osmosis,Drinking water,9.6,2013,Deep well injection / sewer discharge,Groundwater,"total dissolved solids, uranium, hardness","25 µ filter, antiscalant",9.6,4,none,none,yes,448-1216 mg/L TDS equivalent,"antiscalant, cartridge filters",112-130,82,none,none,80 : 20,same wells except for one that goes directly to RO; filtered to 1 µ,"bioscrub to remove odor, stabilization, disinfection, pH adjustment",none,none,none,Sheet1_table_04,92
MA,none,Swansea Desalination Treatment Facility,City of Swansea,Swansea,Microfiltration / reverse osmosis,Drinking water,1.2,2013,surface water discharge - to River during high tide events,Surface water,none,none,1.2,0.4,2.1800000000000002,0.85,yes,none,"intake screen, cuastic, coagulant, strainers, mmicfrofiltration",250-550 depending on feed conductivity,30-50 depending on feed conductivity,none,250 mg/l,40 : 60,groundwater,none,on original membranes,none,through sand lined lagoon then mixed with concentrate,Sheet1_table_04,93
NJ,none,Glassboro,City of Glassboro,Glassboro,Reverse osmosis / vibratory shear enhanced processing,Drinking water,1.1299999999999999,2012,Sewer discharge,Groundwater,total dissolved solids,none,1.1299999999999999,none,~1.5,~1,yes,none,1µ cartridge filters,~ 200,none,none,none,~ 1:1,bypass after filters,"chlorine, orthophosphate",on original membranes,none,none,Sheet1_table_04,94
CO,none,Northern WTP,ECCV Water & Sanitation District,East Cherry Creek,Reverse osmosis,Drinking water,7,2012,Deep well injection,Groundwater,"total dissolved solids, hardness",none,7,6.5,11,7.7,yes,900-1100 mg/L TDS equivalent,"antiscalant, 5 µ cartridge filter",140-170,75,none,250-300 mg/l,70:30,UV treated bypass,"disinfection (hypochlorite), pH adjustment (caustic)",low pressure membrane are original; one replacement on one high pressure skid,none,none,Sheet1_table_04,95
ND,none,Emmons County WTP,South Central W District,Linton,Ultrafiltration / reverse osmosis,Drinking water,1.2,2012,Surface water discharge (lake),Surface water (lake),hardness,none,1.2,0.4,2,0.7,yes,500 mg/L TDS equivalent,"ozone, coagulation, sedimentation, UF, antiscalant",120,80,30 mg/l,250 mg/l,60 : 40,bypass,"blend, ozone, chlorine",6 years,with concentrate,none,Sheet1_table_04,96
OH,none,City of Bowling Green,City of Bowling Green,Bowling Green,Reverse osmosis,Drinking water,3,2012,Surface water discharge,Surface water,"trihalomethane, total organic carbon",none,3,1,14,4.8,yes,416 mg/L TDS equivalent,"antiscalant cartridge filters, microfiltration",75,78,16 µS/cm,none,25 : 75,lime softened/GAC treated water,"blend, pH adjustment, chlorination",on original membranes,with concentrate,none,Sheet1_table_04,97
IL,none,Brimfield WP,City of Brimfield,Brimfield,Reverse osmosis,Drinking water,0.25,2012,Sewer discharge,Groundwater,"total dissolved solids, organics radionuclides",none,0.25,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,Sheet1_table_04,98
MI,none,Allegan WTP,City of Allegan,Allegan,Reverse osmosis,Drinking water,2.25,2011,Surface water discharge,Groundwater,"hardness, lime softening too complicated and labor intensive",none,2.25,~1.2; about 0.9 in winter and 1.5 in summer,none,none,yes,448 mg/L TDS equivalent,"spiral wound filter, antiscalant",150,none,none,none,70 : 30,bypass (treated for iron removal),"fluoride, chlorine, orthophosphate",on original membranes,have not cleaned yet,none,Sheet1_table_04,99
GA,none,Kings Bay Naval Base WTP,King Bay Naval Base,Kings Bay,Nanofiltration,Drinking water,2.0002642007926021,2011,Sewer discharge,none,none,none,none,none,none,none,none,none,"acid, antiscalant",none,none,none,none,none,none,none,none,none,none,Sheet1_table_04,100
IA,none,Atkins WTP,City of Atkins,Atkins,Reverse osmosis,Drinking water,0.57999999999999996,2010,Sewer discharge,Groundwater,ammonia; so system can grow in future,none,0.57999999999999996,none,none,none,no,524.8 mg/L TDS equivalent,"25µ filter, 1µ woven filter; antiscalant",none,none,none,none,none,none,"CaCl2, NaHCO3, caustic, chlorine, orthophosphate",none,none,none,Sheet1_table_04,101
CO,none,Arapahoe County ACWWA WPP,Arapahoe County Water and WW Authority,Centennial,Reverse osmosis,Drinking water,9,2010,Surface water discharge,Groundwater,none,none,none,none,none,none,yes,none,none,none,none,none,none,none,MF permeate,none,none,none,none,Sheet1_table_04,102
